SOPR,date,Active_MVRV,Price,buy_score,sell_score
1.0548472816,2020-02-11,1.0498567749,9966.3345833333,0.0,0.16828937810565536
1.0318249452,2020-02-12,1.0877860247,10342.2829166667,0.0,0.16850649061448214
1.0667861493,2020-02-13,1.0797775817,10278.5829166667,0.0,0.17134741017143473
1.0529005735,2020-02-14,1.0765981658,10259.2025,0.0,0.16981243361891946
1.0289328522,2020-02-15,1.0620893476,10124.2291666667,0.0,0.16658616561949185
1.0427473563,2020-02-16,1.0384873696,9904.8354166667,0.0,0.1664020139370184
1.0193760901,2020-02-17,1.018856042,9720.4995833333,0.0,0.16290543293749365
1.0239708901,2020-02-18,1.0314296929,9855.23125,0.0,0.16415001386934538
1.0299416746,2020-02-19,1.0542822877,10084.4433333333,0.0,0.16618375956790915
1.0378790646,2020-02-20,1.0029755571,9589.86875,0.0,0.16366461501736662
1.0112665123,2020-02-21,1.0138861298,9697.88625,0.0,0.16180992486494544
1.0174448893,2020-02-22,1.0098285403,9663.0754166667,0.0,0.16214303317951728
1.028897583,2020-02-23,1.0308379457,9872.3520833333,0.0,0.16458467376798086
1.0319261144,2020-02-24,1.0157937935,9733.3666666667,0.0,0.16391325249884622
1.088599372,2020-02-25,0.9897857427,9497.57,0.0,0.16768563110737708
1.0131446379,2020-02-26,0.9433690311,9042.89375,0.0,0.15748142066133763
0.9740409595,2020-02-27,0.9197129879,8809.7116666667,0.0,0.15221869674708863
0.9929992062,2020-02-28,0.9095085797,8710.8229166667,0.0,0.1533844509063219
0.9854346378,2020-02-29,0.9087128323,8703.0491666667,0.0,0.15260809396714992
0.9840197919,2020-03-01,0.8959680364,8580.23875,0.0,0.15165754392977882
0.9942091221,2020-03-02,0.9154101122,8771.2079166667,0.0,0.15387781193405023
1.0187172446,2020-03-03,0.9189876261,8804.5620833333,0.0,0.15645699630928112
0.9471183386,2020-03-04,0.9176830929,8778.6433333333,0.0,0.14950689956990584
0.9825207008,2020-03-05,0.9445349939,9039.3091666667,0.0,0.15461898133220445
1.0106853918,2020-03-06,0.9508204921,9104.41375,0.0,0.15772198810916754
1.0079398981,2020-03-07,0.9461663912,9062.6075,0.0,0.1571611141482783
1.028548751,2020-03-08,0.8950549621,8572.5495833333,0.0,0.1558697124948558
0.9758725507,2020-03-09,0.8268735083,7902.5904166667,0.0,0.1464585118270707
0.9330359622,2020-03-10,0.8330053283,7951.8204166667,0.0,0.142742318994243
0.9379849229,2020-03-11,0.8259700533,7863.7466666667,0.0,0.1427671370238634
0.9424630851,2020-03-12,0.7071017915,6628.0841666667,0.0,0.13559657870458378
0.9210711283,2020-03-13,0.572963654,5306.6129166667,0.0,0.12496864358261994
0.8547877234,2020-03-14,0.586922057,5420.5333333333,0.0,0.11950419041852937
0.9005278845,2020-03-15,0.5770828159,5321.0545833333,0.0,0.12326181021157824
0.8722365864,2020-03-16,0.5452917893,5004.3295833333,0.0,0.11851592362209236
0.8346230649,2020-03-17,0.5814878483,5321.3154166667,0.0,0.11722285491691377
0.9451544843,2020-03-18,0.5796855827,5299.4975,0.0,0.12770813403891348
0.8943930441,2020-03-19,0.6319352469,5777.9808333333,0.0,0.12618052832503213
0.8848168368,2020-03-20,0.697622179,6374.25,0.0,0.1294619238306322
1.0019415034,2020-03-21,0.6757055629,6173.22125,0.0,0.13929348416386192
1.037415468,2020-03-22,0.6724947485,6146.3529166667,0.0,0.1424903242002541
0.962657442,2020-03-23,0.670004656,6122.3725,0.0,0.13516145155704679
0.968756603,2020-03-24,0.7284897204,6665.94875,0.0,0.1394857292680048
0.9753540979,2020-03-25,0.7283851225,6662.4866666667,0.0,0.14011177402898373
1.0095493169,2020-03-26,0.7300477989,6678.3495833333,0.0,0.14349757062085639
0.9956189075,2020-03-27,0.7308112444,6685.1116666667,0.0,0.1422103875798939
0.9940988959,2020-03-28,0.6812457513,6228.76125,0.0,0.1388955602907144
0.9241564223,2020-03-29,0.6688493792,6111.9008333333,0.0,0.13139514879863548
0.9298976243,2020-03-30,0.6873063427,6278.1775,0.0,0.1331258345419773
0.9516764813,2020-03-31,0.7070144595,6457.265,0.0,0.13647460526443134
0.8528170022,2020-04-01,0.6947185751,6320.8429166667,0.0,0.12620733473913018
0.9482104817,2020-04-02,0.7396638427,6732.3729166667,0.0,0.1382296903323793
1.0006608385,2020-04-03,0.7493469717,6822.8416666667,0.0,0.1438790456671215
0.9869084202,2020-04-04,0.7443814392,6778.41375,0.0,0.14224264129907338
1.0044721353,2020-04-05,0.7463382375,6799.1166666667,0.0,0.14405219955529966
1.0104826147,2020-04-06,0.7787584556,7104.9575,0.0,0.14670147379445075
0.9761323176,2020-04-07,0.8016014523,7315.2783333333,0.0,0.14486761463127484
1.03341929,2020-04-08,0.7997612429,7303.0233333333,0.0,0.1502440618899447
1.0119763389,2020-04-09,0.7999903208,7308.3170833333,0.0,0.14820222327161411
0.9099479186,2020-04-10,0.7662429019,6975.1129166667,0.0,0.1362594967566044
0.993101562,2020-04-11,0.7555835217,6877.7625,0.0,0.14355281765336422
0.9885285908,2020-04-12,0.7635795408,6952.91,0.0,0.143625485618084
0.9991457979,2020-04-13,0.7416768824,6752.14375,0.0,0.14324334610718129
0.9775712879,2020-04-14,0.7558105045,6882.6929166667,0.0,0.14207790005537738
0.9917176642,2020-04-15,0.7466642486,6799.0633333333,0.0,0.1428498267326588
0.9647511205,2020-04-16,0.7605424836,6926.6558333333,0.0,0.14115092938408758
0.9842559422,2020-04-17,0.7763706909,7072.0904166667,0.0,0.1440335405285847
1.0046191367,2020-04-18,0.7859746355,7162.7416666667,0.0,0.1466005154815857
0.9983086684,2020-04-19,0.7868114867,7172.0904166667,0.0,0.14604881580070841
0.9994004522,2020-04-20,0.7733270343,7048.5,0.0,0.1452913728067972
0.9925553589,2020-04-21,0.7538333601,6869.3670833333,0.0,0.14338853463711104
0.9803478035,2020-04-22,0.768701374,7007.1458333333,0.0,0.143168380406987
0.9876617281,2020-04-23,0.8001206062,7300.73,0.0,0.1458786618224675
1.0003733112,2020-04-24,0.82384041,7522.9379166667,0.0,0.14861432987521148
1.0204653938,2020-04-25,0.8260129099,7546.09875,0.0,0.15068016231604842
1.0111910209,2020-04-26,0.8322720944,7606.3525,0.0,0.15019089524672694
1.0643759298,2020-04-27,0.8422992996,7713.8475,0.0,0.15593269683478403
1.0161278309,2020-04-28,0.8435836429,7729.1933333333,0.0,0.15138758205367658
1.0240975652,2020-04-29,0.8964353304,8261.4795833333,0.0,0.1555310778559199
1.0560088876,2020-04-30,0.961942134,8897.2904166667,0.0,0.16277981588673143
1.0806370845,2020-05-01,0.9490832101,8791.7154166667,0.0,0.16431962552748916
1.053824101,2020-05-02,0.9572402187,8876.3983333333,0.0,0.16226965941885518
1.0546561506,2020-05-03,0.9661793169,8974.1041666667,0.0,0.16292099291732776
1.0625536336,2020-05-04,0.9433040637,8770.2675,0.0,0.1622158339757854
1.0021166494,2020-05-05,0.9602352347,8936.0045833333,0.0,0.15750215025028247
1.07252754,2020-05-06,0.9822047146,9160.7095833333,0.0,0.16565955751365716
1.0793153186,2020-05-07,1.0140842289,9504.2333333333,0.0,0.16834880781184278
1.0598795274,2020-05-08,1.0554636611,9919.0329166667,0.0,0.16913048078779852
1.0431601685,2020-05-09,1.0335964782,9718.8670833333,0.0,0.16612889754900764
1.0675354024,2020-05-10,0.9227018976,8671.8595833333,0.0,0.16137637715040504
0.9717271264,2020-05-11,0.9263255715,8702.15375,0.0,0.15241957502594233
0.9729077288,2020-05-12,0.9343172592,8773.0408333333,0.0,0.15304376222638172
1.0061838945,2020-05-13,0.9635309948,9058.50875,0.0,0.15810293897415784
1.0183326841,2020-05-14,1.0179695838,9586.6725,0.0,0.16274868798933045
1.0464593645,2020-05-15,1.0090837521,9511.0575,0.0,0.16487804563563443
1.0368294604,2020-05-16,0.9977647412,9407.53625,0.0,0.16323079076730534
1.0329525941,2020-05-17,1.0207001489,9631.3845833333,0.0,0.16432539281622927
1.079520443,2020-05-18,1.027658147,9715.6558333333,0.0,0.16923635085334032
1.0525761026,2020-05-19,1.0212175891,9667.825,0.0,0.16624046774105516
1.0434856941,2020-05-20,1.0197538379,9663.415,0.0,0.16527506527538333
1.0366960053,2020-05-21,0.9783097428,9265.9420833333,0.0,0.1619741047034599
1.0103473901,2020-05-22,0.9635701513,9127.4041666667,0.0,0.1585047423334793
1.0148926964,2020-05-23,0.9721762244,9212.725,0.0,0.1594909030157226
1.0322757817,2020-05-24,0.9616752569,9117.24125,0.0,0.16048663040183977
0.9884912013,2020-05-25,0.9315303344,8824.0620833333,0.0,0.15436010774630549
0.9889903638,2020-05-26,0.9351899689,8859.4745833333,0.0,0.15464196460108803
